Date,HML,SG,SV,BG,BV,MOM,SL,SH,BL,BH
193608,3.82,0.6495,4.2542,0.2957,4.3352,0.65,1.46,2.78,0.35,0.33
193609,0.9,2.2001,4.4729,0.9204,0.4389,1.24,2.73,4.3,0.97,1.89
193610,2.47,3.7228,6.4085,6.4131,8.6681,1,6.41,4.87,5.24,8.77
193611,-1.21,10.86,12.3194,3.384,-0.494,1.97,7.78,11.77,3.56,3.5
193612,4.3,2.0887,7.8447,-1.8229,1.0214,2.01,2.76,3.86,-0.98,1.94
193701,2.61,7.2377,9.7396,3.6113,6.3255,-1.9,11.14,7.04,3.37,3.66
193702,4.83,3.2555,5.7398,-0.2074,6.9733,3.17,2.83,4.77,-0.24,4.15
193703,6.5,-3.0335,2.1573,-1.7368,6.0777,2.7,-1.69,-0.23,-1.42,2.53
193704,-3.66,-10.1096,-13.4753,-6.8185,-10.7653,-3.71,-9.94,-12.5,-6.62,-11.48
193705,-3.48,-0.3784,-4.1217,0.2448,-2.9785,0.58,-3.4,-2.26,-0.38,-0.36
193706,-3.33,-7.2258,-10.6078,-4.1508,-7.4383,0.74,-9.8,-9.18,-3.93,-3.06
193707,0.81,10.9496,10.7965,9.2027,10.9736,-0.55,12.5,10.83,9.45,10.02
193708,-2.25,-4.6506,-5.5952,-4.21,-7.7724,-1.85,-4.29,-6.22,-4.56,-6.34
193709,-4.57,-20.8407,-23.0629,-12.3496,-19.2657,-7.01,-20.5,-26.28,-10.68,-18.92
193710,-1.55,-10.805,-9.6555,-10.1749,-14.4157,-1.6,-10.2,-10.93,-8.75,-11.23
193711,0.15,-11.5365,-11.8188,-8.7393,-8.1625,-1.23,-12.88,-11.35,-3.64,-7.63
193712,-0.4,-14.1024,-12.2871,-4.1175,-6.7316,4.67,-14.45,-10.26,-6.98,-1.83
193801,-1.61,4.9994,3.739,1.3091,-0.6467,-1.61,7.01,4.04,-0.19,-0.43
193802,-2.02,8.4176,4.7774,6.3853,5.995,-2.91,7.94,4.4,7.47,5.2
193803,-3.54,-29.9354,-30.2127,-23.5181,-30.3243,15.55,-37.18,-23.17,-38.21,-21.12
193804,0.23,22.08,20.4977,13.8077,15.8488,-8.49,27.68,19.02,21.37,13.04
193805,-0.27,-7.4731,-5.5133,-3.5564,-6.0495,7.01,-10.21,-3.25,-9.43,-2.38
193806,0.32,31.2731,27.6117,25.7265,30.0253,-24.79,40.57,16.35,43.79,18.42
193807,2.2,13.4073,15.3633,6.7739,9.2224,-7.02,16.64,11.01,13.28,4.87
193808,-4.72,-4.6028,-9.2856,-0.4265,-5.1808,3.64,-8.8,-3.72,-4.7,-2.5
193809,-1.62,-1.8733,-2.7862,1.3521,-0.971,2.58,-3.17,-0.71,-1.48,1.22
193810,5.03,14.0911,16.9041,6.9335,14.1797,-7.77,19.51,13.51,16.3,6.76
193811,-1.22,-5.2001,-5.9225,-1.1511,-2.8592,3.07,-5.67,-3.16,-4.91,-1.28
193812,0.53,6.0128,1.5522,3.3432,8.8637,2.18,0.2,5.83,5.33,4.05
193901,-3.94,-8.0482,-10.1457,-5.225,-11.0166,-3.04,-6.39,-9.44,-4.14,-7.18
193902,2.95,3.9084,6.2899,3.3739,6.8947,3.27,3.12,6.66,2.15,5.16
193903,-8.31,-17.785,-22.8516,-9.8064,-21.3665,-1.55,-17.91,-20.32,-12.88,-13.57
193904,-0.3,-0.4839,1.9743,-0.1313,-3.1968,2.56,-1.56,2.5,-0.48,0.58
193905,0.49,11.2711,9.8655,6.8876,9.2768,3.54,8.16,11.73,4.13,7.63
193906,-5.42,-6.8211,-10.6753,-4.3922,-11.3783,2.05,-10.41,-8.09,-6.51,-4.74
193907,-0.03,16.1292,13.6444,11.3137,13.7364,-0.55,14.24,16.1,12.57,9.6
193908,-2.42,-12.3681,-12.61,-6.309,-10.9033,5.95,-13.95,-8.78,-12.07,-5.33
193909,22.22,37.6978,54.9528,13.5797,40.771,-31.03,61.67,25.74,34.82,8.7
193910,-4.89,0.4561,-5.0048,0.028,-4.2992,6.56,-4.89,2.46,-4.02,1.75
193911,-6.46,-7.8325,-13.814,-2.6176,-9.5542,-0.29,-7.33,-9.4,-4.72,-3.23
193912,-4.06,5.9303,0.3533,3.5574,1.0169,5.38,-0.65,5.79,-0.21,4.12
194001,-0.81,-4.1988,-2.8359,-2.1568,-5.1435,1.75,-3.08,-1.71,-2.91,-0.79
194002,-0.33,4.0588,3.1638,1.2492,1.489,1.79,3.34,4.43,-0.65,1.84
194003,-1.27,4.6939,2.2805,2.3725,2.2556,-0.36,2.18,2.45,3.01,2.02
194004,-0.13,4.7401,4.0917,-0.1263,0.2697,3.24,0.91,4.43,-1.66,1.31
194005,-3.69,-27.7724,-32.4317,-22.0718,-24.7879,2.95,-29.46,-27.55,-26.26,-22.26
194006,4.62,4.4242,7.9843,4.9455,10.6339,-2.14,7.69,7.02,6.49,2.88
194007,-0.74,4.717,3.3227,3.3873,3.299,0.8,2.96,5.23,4.04,3.37
194008,0.56,2.0524,1.8886,2.1928,3.4847,-1.57,2.44,2.96,4.46,0.8
194009,-1.13,5.3698,5.2039,3.1522,1.0582,-0.28,5.11,4.68,2.5,2.37
194010,4.64,4.2145,6.2944,0.8953,8.0971,-6.51,7.7,3.98,9.84,0.53
194011,0.12,1.1473,0.1738,-1.9212,-0.7062,1.28,-0.63,2.06,-1.23,-1.36
194012,-0.89,-0.8918,-2.2785,0.5934,0.1971,3.48,-4.68,1.66,0.54,1.16
194101,3.83,-4.4429,-0.3066,-5.0365,-1.5198,-4.43,2.73,-3.71,-1.69,-4.11
194102,0.89,-3.4695,-2.8879,-1.5847,-0.389,0.97,-3.79,-2.2,-1.71,-1.36
194103,3.04,0.5236,3.7745,0.5444,3.378,2.44,0.46,2.82,-0.9,1.62
194104,3.41,-7.5563,-5.2001,-6.497,-2.035,3.01,-7.28,-4.31,-7.88,-4.84
194105,0.6,1.7628,1.5458,0.9481,2.3634,2.52,0.47,2.53,-1.08,1.89
194106,0.59,4.1184,8.46,6.1753,3.0109,-0.95,6.99,7.2,6.71,4.59
194107,7.25,10.4387,18.5406,3.7262,10.1236,-1.63,18.23,11.13,5.14,8.99
194108,-1.1,-1.1591,-0.3954,0.6862,-2.2697,0.12,-1.5,0.08,0.11,-1.23
194109,-0.28,-3.0405,-1.9489,-0.0105,-1.6652,-1.65,-1.31,-2.24,0.19,-2.18
194110,1.63,-5.8203,-6.0101,-6.0976,-2.6528,4.75,-7.19,-4.29,-7.31,-0.72
194111,-0.64,-1.0629,-2.921,-2.2704,-1.6913,4.05,-4.79,-1.8,-3.7,1.42
194112,-5.94,-5.4399,-12.6548,-4.6824,-9.3443,0.25,-10.87,-8.91,-6.01,-7.48
194201,10.1,6.7111,14.4866,-1.7916,10.6422,-3.57,14.35,11.13,4.07,0.14
194202,-1.13,0.5247,-1.7045,-2.3068,-2.3449,-0.75,-1.2,-1.43,-1.88,-3.14
194203,-0.62,-4.7636,-5.7196,-5.83,-6.1045,-0.33,-4.28,-4,-6.06,-7
194204,2.09,-6.1855,-3.7407,-4.5876,-2.8527,-0.71,-5.08,-4.92,-3.57,-5.15
194205,-2.65,0.1524,1.65,7.4477,0.6445,-4.71,2.72,-0.29,8.15,1.75
